time,trial,gameplay?, 1 (x y rot), 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28,
5.479 , 1 , true , 7935.210449 -4566.085938 136.793457,-5181.950684 170.088226 14.72643,5059.370117 479.39975 -69.773933,-3428.447021 -14886.763672 164.620575,624.439331 -6200.321777 -150.230927,8015.583984 -2.953458 -17.767435,-4897.882812 6992.502441 74.70623,-8238.010742 -7200.846191 -75.712692,10240.083984 -12002.532227 3.793484,3812.907471 -9033.966797 -11.433795,-2238.581299 3583.310303 -61.46088,-1172.946289 11875.532227 36.882725,1919.841431 -4219.909668 63.281555,-5293.615723 1208.624268 78.022064,2688.207764 5855.036133 33.879711,-12230.765625 -6608.807617 125.568077,-7516.650879 8396.814453 -35.98938,6240.711914 -1325.103638 -150.591522,-1887.192017 13135.943359 85.206413,309.365692 -773.900391 101.560982,-14609.095703 10509.740234 147.664124,7552.024414 -11849.584961 66.767395,-3784.929199 -14054.754883 -74.453926,8058.407715 -5635.56543 52.634975,1061.751831 -11758.59375 12.125973,4959.918457 -12726.791016 83.5811,13063.158203 4765.141602 41.825603,9744.405273 11356.561523 -3.53418,
5.979 , 1 , true , 7912.611328 -4544.864258 136.793457,-5151.964844 177.968781 14.72643,5070.086914 450.311707 -69.773933,-3458.334473 -14878.529297 164.620575,597.530029 -6215.71582 -150.230927,8045.100586 -12.413227 -17.767435,-4889.708984 7022.397461 74.70623,-8230.351562 -7230.892578 -75.712692,10271.023438 -12000.473633 3.793484,3843.294434 -9040.112305 -11.433795,-2223.77002 3556.079346 -61.46088,-1148.152344 11894.150391 36.882725,1933.778564 -4192.224609 63.281555,-5287.182617 1238.950684 78.022064,2713.947754 5872.322266 33.879711,-12248.808594 -6583.589844 125.568077,-7491.569336 8378.589844 -35.98938,6213.708008 -1340.327393 -150.591522,-1884.599854 13166.822266 85.206413,303.153015 -743.528564 101.560982,-14635.282227 10526.330078 147.664124,7564.254883 -11821.097656 66.767395,-3776.619141 -14084.634766 -74.453926,8077.222656 -5610.922852 52.634975,1092.059326 -11752.084961 12.125973,4963.384766 -12695.972656 83.5811,13086.256836 4785.818359 41.825603,9775.344727 11354.654297 -3.53418,
6.48 , 1 , true , 7890.012207 -4523.642578 136.793457,-5121.979004 185.849335 14.72643,5080.803711 421.223663 -69.773933,-3488.221924 -14870.294922 164.620575,570.620728 -6231.109863 -150.230927,8074.617188 -21.873014 -17.767435,-4881.535156 7052.29248 74.70623,-8222.692383 -7260.938965 -75.712692,10301.962891 -11998.415039 3.793484,3873.681396 -9046.257812 -11.433795,-2208.95874 3528.848389 -61.46088,-1123.358398 11912.768555 36.882725,1947.715698 -4164.539551 63.281555,-5280.749512 1269.2771 78.022064,2739.687744 5889.608398 33.879711,-12266.851562 -6558.37207 125.568077,-7466.487793 8360.365234 -35.98938,6186.704102 -1355.551147 -150.591522,-1882.00769 13197.701172 85.206413,296.940338 -713.156738 101.560982,-14661.46875 10542.919922 147.664124,7576.485352 -11792.610352 66.767395,-3768.309082 -14114.514648 -74.453926,8096.037598 -5586.280273 52.634975,1122.366821 -11745.576172 12.125973,4966.851074 -12665.154297 83.5811,13109.355469 4806.495117 41.825603,9806.28418 11352.74707 -3.53418,
6.979 , 1 , true , 7867.413086 -4502.420898 136.793457,-5091.993164 193.729889 14.72643,5091.520508 392.13562 -69.773933,-3518.109375 -14862.060547 164.620575,543.711426 -6246.503906 -150.230927,8104.133789 -31.332813 -17.767435,-4873.361328 7082.1875 74.70623,-8215.033203 -7290.985352 -75.712692,10332.902344 -11996.356445 3.793484,3904.068359 -9052.40332 -11.433795,-2194.147461 3501.617432 -61.46088,-1098.564453 11931.386719 36.882725,1961.652832 -4136.854492 63.281555,-5274.316406 1299.603516 78.022064,2765.427734 5906.894531 33.879711,-12284.894531 -6533.154297 125.568077,-7441.40625 8342.140625 -35.98938,6159.700195 -1370.774902 -150.591522,-1879.415527 13228.580078 85.206413,290.727661 -682.784912 101.560982,-14687.655273 10559.509766 147.664124,7588.71582 -11764.123047 66.767395,-3759.999023 -14144.394531 -74.453926,8114.852539 -5561.637695 52.634975,1152.674316 -11739.067383 12.125973,4970.317383 -12634.335938 83.5811,13132.454102 4827.171875 41.825603,9837.223633 11350.839844 -3.53418,
7.48 , 1 , true , 7844.813965 -4481.199219 136.793457,-5062.007324 201.610443 14.72643,5102.237305 363.047577 -69.773933,-3547.996826 -14853.826172 164.620575,516.802124 -6261.897949 -150.230927,8133.650391 -40.792557 -17.767435,-4865.1875 7112.08252 74.70623,-8207.374023 -7321.031738 -75.712692,10363.841797 -11994.297852 3.793484,3934.455322 -9058.548828 -11.433795,-2179.336182 3474.386475 -61.46088,-1073.770508 11950.004883 36.882725,1975.589966 -4109.169434 63.281555,-5267.883301 1329.929932 78.022064,2791.167725 5924.180664 33.879711,-12302.9375 -6507.936523 125.568077,-7416.324707 8323.916016 -35.98938,6132.696289 -1385.998657 -150.591522,-1876.823364 13259.458984 85.206413,284.514984 -652.413086 101.560982,-14713.841797 10576.099609 147.664124,7600.946289 -11735.635742 66.767395,-3751.688965 -14174.274414 -74.453926,8133.66748 -5536.995117 52.634975,1182.981812 -11732.558594 12.125973,4973.783691 -12603.517578 83.5811,13155.552734 4847.848633 41.825603,9868.163086 11348.932617 -3.53418,
7.98 , 1 , true , 7822.214844 -4459.977539 136.793457,-5032.021484 209.490997 14.72643,5112.954102 333.959534 -69.773933,-3577.884277 -14845.591797 164.620575,489.892822 -6277.291992 -150.230927,8163.166992 -50.252296 -17.767435,-4857.013672 7141.977539 74.70623,-8199.714844 -7351.078125 -75.712692,10394.78125 -11992.239258 3.793484,3964.842285 -9064.694336 -11.433795,-2164.524902 3447.155518 -61.46088,-1048.976562 11968.623047 36.882725,1989.5271 -4081.480225 63.281555,-5261.450195 1360.256348 78.022064,2816.907715 5941.466797 33.879711,-12320.980469 -6482.71875 125.568077,-7391.243164 8305.691406 -35.98938,6105.692383 -1401.222412 -150.591522,-1874.231201 13290.337891 85.206413,278.302307 -622.04126 101.560982,-14740.02832 10592.689453 147.664124,7613.176758 -11707.148438 66.767395,-3743.378906 -14204.154297 -74.453926,8152.482422 -5512.352539 52.634975,1213.289307 -11726.049805 12.125973,4977.25 -12572.699219 83.5811,13178.651367 4868.525391 41.825603,9899.102539 11347.025391 -3.53418,
8.48 , 1 , true , 7799.615723 -4438.755859 136.793457,-5002.035645 217.371552 14.72643,5123.670898 304.87149 -69.773933,-3607.771729 -14837.357422 164.620575,462.983521 -6292.686035 -150.230927,8192.683594 -59.712036 -17.767435,-4848.839844 7171.872559 74.70623,-8192.055664 -7381.124512 -75.712692,10425.720703 -11990.180664 3.793484,3995.229248 -9070.839844 -11.433795,-2149.713623 3419.924561 -61.46088,-1024.182617 11987.241211 36.882725,2003.464233 -4053.787598 63.281555,-5255.01709 1390.582764 78.022064,2842.647705 5958.75293 33.879711,-12339.023438 -6457.500977 125.568077,-7366.161621 8287.466797 -35.98938,6078.688477 -1416.446167 -150.591522,-1871.639038 13321.216797 85.206413,272.08963 -591.669434 101.560982,-14766.214844 10609.279297 147.664124,7625.407227 -11678.661133 66.767395,-3735.068848 -14234.03418 -74.453926,8171.297363 -5487.709961 52.634975,1243.596802 -11719.541016 12.125973,4980.716309 -12541.880859 83.5811,13201.75 4889.202148 41.825603,9930.041992 11345.118164 -3.53418,
8.98 , 1 , true , 7777.016602 -4417.53418 136.793457,-4972.049805 225.252106 14.72643,5134.387695 275.783447 -69.773933,-3637.65918 -14829.123047 164.620575,436.074219 -6308.080078 -150.230927,8222.200195 -69.171776 -17.767435,-4840.666016 7201.767578 74.70623,-8184.411621 -7411.170898 -75.712692,10456.660156 -11988.12207 3.793484,4025.616211 -9076.985352 -11.433795,-2134.902344 3392.693604 -61.46088,-999.38678 12005.859375 36.882725,2017.401367 -4026.094971 63.281555,-5248.583984 1420.90918 78.022064,2868.387695 5976.039062 33.879711,-12357.066406 -6432.283203 125.568077,-7341.080078 8269.242188 -35.98938,6051.68457 -1431.669922 -150.591522,-1869.046875 13352.095703 85.206413,265.876953 -561.297607 101.560982,-14792.401367 10625.869141 147.664124,7637.637695 -11650.173828 66.767395,-3726.758789 -14263.914062 -74.453926,8190.112305 -5463.067383 52.634975,1273.904297 -11713.032227 12.125973,4984.182617 -12511.0625 83.5811,13224.848633 4909.878906 41.825603,9960.981445 11343.210938 -3.53418,
9.48 , 1 , true , 7754.41748 -4396.3125 136.793457,-4942.063965 233.13266 14.72643,5145.104492 246.695251 -69.773933,-3667.546631 -14820.888672 164.620575,409.164917 -6323.474121 -150.230927,8251.716797 -78.631516 -17.767435,-4832.492188 7231.662598 74.70623,-8176.767578 -7441.217285 -75.712692,10487.599609 -11986.063477 3.793484,4056.003174 -9083.130859 -11.433795,-2120.091064 3365.462646 -61.46088,-974.590942 12024.477539 36.882725,2031.338501 -3998.402344 63.281555,-5242.150879 1451.235596 78.022064,2894.127686 5993.325195 33.879711,-12375.109375 -6407.06543 125.568077,-7315.998535 8251.017578 -35.98938,6024.680664 -1446.893677 -150.591522,-1866.454712 13382.974609 85.206413,259.664276 -530.925781 101.560982,-14818.587891 10642.458984 147.664124,7649.868164 -11621.686523 66.767395,-3718.44873 -14293.793945 -74.453926,8208.914062 -5438.424805 52.634975,1304.211792 -11706.523438 12.125973,4987.648926 -12480.244141 83.5811,13247.947266 4930.555664 41.825603,9991.920898 11341.303711 -3.53418,
9.98 , 1 , true , 7731.818359 -4375.09082 136.793457,-4912.078125 241.013214 14.72643,5155.821289 217.606735 -69.773933,-3697.434082 -14812.654297 164.620575,382.255615 -6338.868164 -150.230927,8281.233398 -88.091255 -17.767435,-4824.318359 7261.557617 74.70623,-8169.123535 -7471.263672 -75.712692,10518.539062 -11984.004883 3.793484,4086.390137 -9089.276367 -11.433795,-2105.279785 3338.231689 -61.46088,-949.795105 12043.095703 36.882725,2045.275635 -3970.709717 63.281555,-5235.717773 1481.562012 78.022064,2919.867676 6010.611328 33.879711,-12393.152344 -6381.847656 125.568077,-7290.916992 8232.792969 -35.98938,5997.676758 -1462.117432 -150.591522,-1863.862549 13413.853516 85.206413,253.451599 -500.554321 101.560982,-14844.774414 10659.048828 147.664124,7662.098633 -11593.199219 66.767395,-3710.138672 -14323.673828 -74.453926,8227.713867 -5413.782227 52.634975,1334.519287 -11700.014648 12.125973,4991.115234 -12449.425781 83.5811,13271.045898 4951.232422 41.825603,10022.860352 11339.396484 -3.53418,
10.48 , 1 , true , 7709.219238 -4353.869141 136.793457,-4882.092285 248.893768 14.72643,5166.538086 188.518219 -69.773933,-3727.321533 -14804.419922 164.620575,355.346313 -6354.262207 -150.230927,8310.75 -97.550995 -17.767435,-4816.144531 7291.452637 74.70623,-8161.479492 -7501.310059 -75.712692,10549.478516 -11981.946289 3.793484,4116.771973 -9095.421875 -11.433795,-2090.468506 3311.000732 -61.46088,-924.999268 12061.713867 36.882725,2059.21582 -3943.01709 63.281555,-5229.284668 1511.888428 78.022064,2945.607666 6027.897461 33.879711,-12411.195312 -6356.629883 125.568077,-7265.835449 8214.568359 -35.98938,5970.672852 -1477.341187 -150.591522,-1861.270386 13444.732422 85.206413,247.238922 -470.183441 101.560982,-14860.824219 10669.216797 -32.335922,7674.329102 -11564.711914 66.767395,-3701.828613 -14353.553711 -74.453926,8246.513672 -5389.139648 52.634975,1364.826782 -11693.505859 12.125973,4994.581543 -12418.607422 83.5811,13294.144531 4971.90918 41.825603,10053.799805 11337.489258 -3.53418,
10.98 , 1 , true , 7686.620117 -4332.647461 136.793457,-4852.106445 256.774323 14.72643,5177.254883 159.429703 -69.773933,-3757.208984 -14796.185547 164.620575,328.437012 -6369.65625 -150.230927,8340.266602 -107.010735 -17.767435,-4807.970703 7321.347656 74.70623,-8153.835449 -7531.356445 -75.712692,10580.417969 -11979.887695 3.793484,4147.151367 -9101.567383 -11.433795,-2075.657227 3283.769775 -61.46088,-900.20343 12080.332031 36.882725,2073.156738 -3915.324463 63.281555,-5222.851562 1542.214844 78.022064,2971.347656 6045.183594 33.879711,-12429.238281 -6331.412109 125.568077,-7240.753906 8196.34375 -35.98938,5943.668945 -1492.564941 -150.591522,-1858.678223 13475.611328 85.206413,241.026245 -439.812561 101.560982,-14834.637695 10652.626953 -32.335922,7686.55957 -11536.224609 66.767395,-3693.518555 -14383.433594 -74.453926,8265.313477 -5364.49707 52.634975,1395.134277 -11686.99707 12.125973,4998.047852 -12387.789062 83.5811,13317.243164 4992.585938 41.825603,10084.739258 11335.582031 -3.53418,
11.48 , 1 , true , 7664.020996 -4311.425781 136.793457,-4822.120605 264.654877 14.72643,5187.97168 130.341187 -69.773933,-3787.096436 -14787.951172 164.620575,301.52771 -6385.050293 -150.230927,8369.783203 -116.470474 -17.767435,-4799.796875 7351.242676 74.70623,-8146.191406 -7561.402832 -75.712692,10611.357422 -11977.829102 3.793484,4177.530762 -9107.712891 -11.433795,-2060.845947 3256.538818 -61.46088,-875.407593 12098.950195 36.882725,2087.097656 -3887.631836 63.281555,-5216.418457 1572.54126 78.022064,2997.087646 6062.469727 33.879711,-12447.28125 -6306.194336 125.568077,-7215.672363 8178.130859 -35.98938,5916.665039 -1507.788696 -150.591522,-1856.08606 13506.490234 85.206413,234.813568 -409.441681 101.560982,-14808.451172 10636.037109 -32.335922,7698.790039 -11507.737305 66.767395,-3685.208496 -14413.313477 -74.453926,8284.113281 -5339.854492 52.634975,1425.441772 -11680.488281 12.125973,5001.51416 -12356.970703 83.5811,13340.341797 5013.262695 41.825603,10115.678711 11333.674805 -3.53418,
11.98 , 1 , true , 7641.421875 -4290.204102 136.793457,-4792.134766 272.535431 14.72643,5198.688477 101.25267 -69.773933,-3816.983887 -14779.716797 164.620575,274.618408 -6400.444336 -150.230927,8399.299805 -125.930214 -17.767435,-4791.623047 7381.137695 74.70623,-8138.547363 -7591.449219 -75.712692,10642.296875 -11975.770508 3.793484,4207.910156 -9113.858398 -11.433795,-2046.034668 3229.307861 -61.46088,-850.611755 12117.568359 36.882725,2101.038574 -3859.939209 63.281555,-5209.985352 1602.867676 78.022064,3022.827637 6079.755859 33.879711,-12465.324219 -6280.976562 125.568077,-7190.59082 8159.921387 -35.98938,5889.661133 -1523.012451 -150.591522,-1853.493896 13537.369141 85.206413,228.600891 -379.070801 101.560982,-14782.264648 10619.447266 -32.335922,7711.020508 -11479.25 66.767395,-3676.898438 -14443.193359 -74.453926,8302.913086 -5315.211914 52.634975,1455.749268 -11673.979492 12.125973,5004.980469 -12326.152344 83.5811,13363.44043 5033.939453 41.825603,10146.618164 11331.767578 -3.53418,
12.481 , 1 , true , 7618.822754 -4268.982422 136.793457,-4762.148926 280.415985 14.72643,5209.405273 72.164154 -69.773933,-3846.871338 -14771.482422 164.620575,247.709259 -6415.838379 -150.230927,8428.816406 -135.390137 -17.767435,-4783.449219 7411.032715 74.70623,-8130.90332 -7621.495605 -75.712692,10673.236328 -11973.711914 3.793484,4238.289551 -9120.003906 -11.433795,-2031.223389 3202.076904 -61.46088,-825.815918 12136.186523 36.882725,2114.979492 -3832.246582 63.281555,-5203.552246 1633.194092 78.022064,3048.567627 6097.041992 33.879711,-12483.367188 -6255.758789 125.568077,-7165.509277 8141.711914 -35.98938,5862.657227 -1538.236206 -150.591522,-1850.901733 13568.248047 85.206413,222.388214 -348.699921 101.560982,-14756.078125 10602.857422 -32.335922,7723.250977 -11450.762695 66.767395,-3668.588379 -14473.073242 -74.453926,8321.712891 -5290.569336 52.634975,1486.056763 -11667.470703 12.125973,5008.446777 -12295.333984 83.5811,13386.539062 5054.616211 41.825603,10177.557617 11329.860352 -3.53418,
12.981 , 1 , true , 7596.223633 -4247.760742 136.793457,-4732.163086 288.296539 14.72643,5220.12207 43.075726 -69.773933,-3876.758789 -14763.248047 164.620575,220.80043 -6431.232422 -150.230927,8458.333008 -144.850113 -17.767435,-4775.275391 7440.927734 74.70623,-8123.259277 -7651.541992 -75.712692,10704.175781 -11971.65332 3.793484,4268.668945 -9126.149414 -11.433795,-2016.412109 3174.845947 -61.46088,-801.020081 12154.804688 36.882725,2128.92041 -3804.553955 63.281555,-5197.119141 1663.520508 78.022064,3074.307617 6114.328125 33.879711,-12501.410156 -6230.541016 125.568077,-7140.427734 8123.502441 -35.98938,5835.65332 -1553.459961 -150.591522,-1848.30957 13599.126953 85.206413,216.175537 -318.329041 101.560982,-14729.891602 10586.267578 -32.335922,7735.481445 -11422.275391 66.767395,-3660.27832 -14502.953125 -74.453926,8340.512695 -5265.926758 52.634975,1516.364258 -11660.961914 12.125973,5011.913086 -12264.515625 83.5811,13409.637695 5075.292969 41.825603,10208.49707 11327.953125 -3.53418,
13.481 , 1 , true , 7573.624512 -4226.539062 136.793457,-4702.177246 296.177094 14.72643,5230.838867 13.987328 -69.773933,-3906.64624 -14755.013672 164.620575,193.891602 -6446.626465 -150.230927,8487.849609 -154.310089 -17.767435,-4767.101562 7470.822754 74.70623,-8115.615234 -7681.588379 -75.712692,10735.115234 -11969.594727 3.793484,4299.04834 -9132.294922 -11.433795,-2001.60083 3147.61499 -61.46088,-776.224243 12173.422852 36.882725,2142.861328 -3776.861328 63.281555,-5190.686035 1693.846924 78.022064,3100.047607 6131.614258 33.879711,-12519.453125 -6205.323242 125.568077,-7115.346191 8105.292969 -35.98938,5808.649414 -1568.683716 -150.591522,-1845.717407 13630.005859 85.206413,209.96286 -287.95816 101.560982,-14703.705078 10569.677734 -32.335922,7747.711914 -11393.788086 66.767395,-3651.968262 -14532.833008 -74.453926,8359.3125 -5241.28418 52.634975,1546.671753 -11654.453125 12.125973,5015.379395 -12233.697266 83.5811,13432.736328 5095.969727 41.825603,10239.436523 11326.045898 -3.53418,
13.981 , 1 , true , 7551.025391 -4205.317383 136.793457,-4672.191406 304.057648 14.72643,5241.555664 -15.101078 -69.773933,-3936.533691 -14746.779297 164.620575,166.982773 -6462.020508 -150.230927,8517.366211 -163.770065 -17.767435,-4758.927734 7500.717773 74.70623,-8107.971191 -7711.634766 -75.712692,10766.054688 -11967.536133 3.793484,4329.427734 -9138.44043 -11.433795,-1986.789551 3120.384033 -61.46088,-751.428406 12192.041016 36.882725,2156.802246 -3749.168701 63.281555,-5184.25293 1724.17334 78.022064,3125.787598 6148.900391 33.879711,-12537.496094 -6180.105469 125.568077,-7090.264648 8087.083496 -35.98938,5781.645508 -1583.907471 -150.591522,-1843.125244 13660.884766 85.206413,203.750183 -257.58728 101.560982,-14677.518555 10553.087891 -32.335922,7759.942383 -11365.300781 66.767395,-3643.658203 -14562.712891 -74.453926,8378.112305 -5216.641602 52.634975,1576.979248 -11647.944336 12.125973,5018.845703 -12202.878906 83.5811,13455.834961 5116.646484 41.825603,10270.375977 11324.138672 -3.53418,
14.481 , 1 , true , 7528.42627 -4184.095703 136.793457,-4642.205566 311.938202 14.72643,5252.272461 -44.189476 -69.773933,-3966.421143 -14738.544922 164.620575,140.073944 -6477.414551 -150.230927,8546.882812 -173.230042 -17.767435,-4750.753906 7530.612793 74.70623,-8100.327148 -7741.681152 -75.712692,10796.994141 -11965.477539 3.793484,4359.807129 -9144.585938 -11.433795,-1971.978271 3093.153076 -61.46088,-726.632568 12210.65918 36.882725,2170.743164 -3721.476074 63.281555,-5177.819824 1754.499756 78.022064,3151.527588 6166.186523 33.879711,-12555.539062 -6154.887695 125.568077,-7065.183105 8068.874023 -35.98938,5754.641602 -1599.131226 -150.591522,-1840.533081 13691.763672 85.206413,197.537506 -227.2164 101.560982,-14651.332031 10536.498047 -32.335922,7772.172852 -11336.813477 66.767395,-3635.348145 -14592.592773 -74.453926,8396.912109 -5191.999023 52.634975,1607.286743 -11641.435547 12.125973,5022.312012 -12172.060547 83.5811,13478.933594 5137.323242 41.825603,10301.31543 11322.231445 -3.53418,
14.981 , 1 , true , 7505.827148 -4162.874023 136.793457,-4612.219727 319.818756 14.72643,5262.989258 -73.277908 -69.773933,-3996.308594 -14730.310547 164.620575,113.164978 -6492.808594 -150.230927,8576.399414 -182.690018 -17.767435,-4742.580078 7560.507812 74.70623,-8092.683105 -7771.727539 -75.712692,10827.933594 -11963.418945 3.793484,4390.186523 -9150.731445 -11.433795,-1957.166992 3065.922119 -61.46088,-701.836731 12229.277344 36.882725,2184.684082 -3693.783447 63.281555,-5171.386719 1784.826172 78.022064,3177.267578 6183.472656 33.879711,-12573.582031 -6129.669922 125.568077,-7040.101562 8050.664551 -35.98938,5727.637695 -1614.35498 -150.591522,-1837.940918 13722.642578 85.206413,191.324829 -196.84552 101.560982,-14625.145508 10519.908203 -32.335922,7784.40332 -11308.326172 66.767395,-3627.038086 -14622.472656 -74.453926,8415.711914 -5167.356445 52.634975,1637.594238 -11634.926758 12.125973,5025.77832 -12141.242188 83.5811,13502.032227 5158.0 41.825603,10332.254883 11320.324219 -3.53418,
15.481 , 1 , true , 7483.228027 -4141.652344 136.793457,-4582.233887 327.69931 14.72643,5273.706055 -102.366425 -69.773933,-4026.196045 -14722.076172 164.620575,86.255913 -6508.202637 -150.230927,8605.916016 -192.149994 -17.767435,-4734.40625 7590.402832 74.70623,-8085.039062 -7801.773926 -75.712692,10858.873047 -11961.360352 3.793484,4420.565918 -9156.876953 -11.433795,-1942.355713 3038.691162 -61.46088,-677.040894 12247.895508 36.882725,2198.625 -3666.09082 63.281555,-5164.953613 1815.152588 78.022064,3203.007568 6200.758789 33.879711,-12591.625 -6104.452148 125.568077,-7015.02002 8032.455078 -35.98938,5700.633789 -1629.578735 -150.591522,-1835.348755 13753.521484 85.206413,185.112152 -166.47464 101.560982,-14598.958984 10503.318359 -32.335922,7796.633789 -11279.838867 66.767395,-3618.728027 -14652.352539 -74.453926,8434.511719 -5142.713867 52.634975,1667.901733 -11628.417969 12.125973,5029.244629 -12110.423828 83.5811,13525.130859 5178.676758 41.825603,10363.194336 11318.416992 -3.53418,
15.981 , 1 , true , 7460.628906 -4120.430664 136.793457,-4552.248047 335.579865 14.72643,5284.422852 -131.454941 -69.773933,-4056.083496 -14713.841797 164.620575,59.346848 -6523.59668 -150.230927,8635.432617 -201.60997 -17.767435,-4726.232422 7620.297852 74.70623,-8077.39502 -7831.820312 -75.712692,10889.8125 -11959.301758 3.793484,4450.945312 -9163.022461 -11.433795,-1927.544434 3011.460205 -61.46088,-652.245056 12266.513672 36.882725,2212.565918 -3638.398193 63.281555,-5158.520508 1845.479004 78.022064,3228.747559 6218.044922 33.879711,-12609.667969 -6079.234375 125.568077,-6989.938477 8014.245605 -35.98938,5673.629883 -1644.80249 -150.591522,-1832.756592 13784.400391 85.206413,178.899475 -136.10376 101.560982,-14572.772461 10486.728516 -32.335922,7808.864258 -11251.351562 66.767395,-3610.417969 -14682.232422 -74.453926,8453.311523 -5118.071289 52.634975,1698.209229 -11621.90918 12.125973,5032.710938 -12079.605469 83.5811,13548.229492 5199.353516 41.825603,10394.133789 11316.509766 -3.53418,
16.481001 , 1 , true , 7438.029785 -4099.208984 136.793457,-4522.262207 343.460419 14.72643,5295.139648 -160.543457 -69.773933,-4085.970947 -14705.607422 164.620575,32.437782 -6538.990723 -150.230927,8664.949219 -211.069946 -17.767435,-4718.058594 7650.192871 74.70623,-8069.750977 -7861.866699 -75.712692,10920.751953 -11957.243164 3.793484,4481.324707 -9169.167969 -11.433795,-1912.733154 2984.229248 -61.46088,-627.449219 12285.131836 36.882725,2226.506836 -3610.705566 63.281555,-5152.087402 1875.80542 78.022064,3254.487549 6235.331055 33.879711,-12627.710938 -6054.016602 125.568077,-6964.856934 7996.036133 -35.98938,5646.625977 -1660.026245 -150.591522,-1830.164429 13815.279297 85.206413,172.686798 -105.732704 101.560982,-14546.585938 10470.138672 -32.335922,7821.094727 -11222.864258 66.767395,-3602.10791 -14712.112305 -74.453926,8472.111328 -5093.428711 52.634975,1728.516724 -11615.400391 12.125973,5036.177246 -12048.787109 83.5811,13571.328125 5220.030273 41.825603,10425.073242 11314.602539 -3.53418,
16.981001 , 1 , true , 7415.430664 -4077.987305 136.793457,-4492.276367 351.340973 14.72643,5305.856445 -189.631973 -69.773933,-4115.863281 -14697.373047 164.620575,5.528729 -6554.384766 -150.230927,8694.46582 -220.529922 -17.767435,-4709.884766 7680.087891 74.70623,-8062.106934 -7891.913086 -75.712692,10951.691406 -11955.18457 3.793484,4511.704102 -9175.313477 -11.433795,-1897.921875 2956.998291 -61.46088,-602.653381 12303.75 36.882725,2240.447754 -3583.012939 63.281555,-5145.654297 1906.131836 78.022064,3280.227539 6252.617188 33.879711,-12645.753906 -6028.798828 125.568077,-6939.775391 7977.82666 -35.98938,5619.62207 -1675.25 -150.591522,-1827.572266 13846.158203 85.206413,166.474121 -75.361588 101.560982,-14520.399414 10453.548828 -32.335922,7833.325195 -11194.376953 66.767395,-3593.797852 -14741.992188 -74.453926,8490.911133 -5068.786133 52.634975,1758.824219 -11608.891602 12.125973,5039.643555 -12017.96875 83.5811,13594.426758 5240.707031 41.825603,10456.012695 11312.695312 -3.53418,
17.481001 , 1 , true , 7392.831543 -4056.765625 136.793457,-4462.290527 359.221527 14.72643,5316.573242 -218.72049 -69.773933,-4145.758301 -14689.138672 164.620575,-21.380316 -6569.778809 -150.230927,8723.982422 -229.989899 -17.767435,-4701.710938 7709.98291 74.70623,-8054.462891 -7921.959473 -75.712692,10982.630859 -11953.125977 3.793484,4542.083496 -9181.458984 -11.433795,-1883.110596 2929.767334 -61.46088,-577.857544 12322.368164 36.882725,2254.388672 -3555.320312 63.281555,-5139.221191 1936.458252 78.022064,3305.967529 6269.90332 33.879711,-12663.796875 -6003.581055 125.568077,-6914.693848 7959.617188 -35.98938,5592.618164 -1690.473755 -150.591522,-1824.980103 13877.037109 85.206413,160.261444 -44.990471 101.560982,-14494.212891 10436.958984 -32.335922,7845.555664 -11165.889648 66.767395,-3585.487793 -14771.87207 -74.453926,8509.710938 -5044.143555 52.634975,1789.131714 -11602.382812 12.125973,5043.109863 -11987.150391 83.5811,13617.525391 5261.383789 41.825603,10486.952148 11310.788086 -3.53418,
17.981001 , 1 , true , 7370.232422 -4035.543945 136.793457,-4432.304688 367.102081 14.72643,5327.290039 -247.809006 -69.773933,-4175.65332 -14680.904297 164.620575,-48.289379 -6585.172852 -150.230927,8753.499023 -239.449875 -17.767435,-4693.537109 7739.87793 74.70623,-8046.818848 -7952.005859 -75.712692,11013.570312 -11951.067383 3.793484,4572.462891 -9187.604492 -11.433795,-1868.299316 2902.536377 -61.46088,-553.061707 12340.986328 36.882725,2268.32959 -3527.627686 63.281555,-5132.788086 1966.784668 78.022064,3331.70752 6287.189453 33.879711,-12681.839844 -5978.363281 125.568077,-6889.612305 7941.407715 -35.98938,5565.614258 -1705.69751 -150.591522,-1822.387939 13907.916016 85.206413,154.048767 -14.619389 101.560982,-14468.026367 10420.369141 -32.335922,7857.786133 -11137.402344 66.767395,-3577.177734 -14801.751953 -74.453926,8528.510742 -5019.500977 52.634975,1819.439209 -11595.874023 12.125973,5046.576172 -11956.332031 83.5811,13640.624023 5282.060547 41.825603,10517.891602 11308.880859 -3.53418,
